,Name,fests,idno
0,JenapRowli,"['fest_1_event_9', 'fest_2_event_3', 'fest_1_event_4', 'fest_2_event_8', 'fest_1_event_11']",NaN
1,Credyj Duenas,"['fest_1_event_4', 'fest_1_event_9', 'fest_2_event_15', 'fest_2_event_6', 'fest_2_event_13', 'fest_2_event_7', 'fest_2_event_3', 'fest_1_event_2', 'fest_2_event_1', 'fest_2_event_2']",17XJ1A0166
2,Jequqlin Duran,"['fest_2_event_1', 'fest_2_event_5', 'fest_2_event_3', 'fest_1_event_4', 'fest_1_event_2']",18XJ1A0102
3,Keiyah widalgo,"['fest_1_event_4', 'fest_1_event_1', 'fest_1_event_2', 'fest_2_event_15', 'fest_2_event_1', 'fest_1_event_10', 'fest_2_event_3', 'fest_2_event_8', 'fest_2_event_9', 'fest_1_event_5', 'fest_2_event_10', 'fest_1_event_9', 'fest_1_event_11', 'fest_2_event_13', 'fest_2_event_4']",18XJ1A0121
4,Elaine John S,"['fest_2_event_15', 'fest_1_event_13', 'fest_1_event_2', 'fest_1_event_5', 'fest_1_event_3', 'fest_1_event_4', 'fest_2_event_2', 'fest_2_event_9', 'fest_1_event_10', 'fest_1_event_1', 'fest_2_event_14', 'fest_1_event_1', 'fest_2_event_14', 'fest_2_event_12', 'fest_2_event_6', 'fest_2_event_1', 'fest_2_event_10', 'fest_1_event_8', 'fest_2_event_13', 'fest_2_event_9', 'fest_1_event_8', 'fest_1_event_3', 'fest_1_event_4', 'fest_1_event_6', 'fest_1_event_1', 'fest_1_event_9', 'fest_1_event_7', 'fest_2_event_14', 'fest_2_event_4', 'fest_2_event_8', 'fest_1_event_4', 'fest_1_event_6', 'fest_1_event_10', 'fest_2_event_15']",NaN
5,Koljte Roend,"['fest_2_event_13', 'fest_1_event_2', 'fest_1_event_3', 'fest_1_event_13', 'fest_1_event_7', 'fest_2_event_12', 'fest_2_event_6', 'fest_2_event_15', 'fest_2_event_2', 'fest_1_event_11', 'fest_2_event_11', 'fest_1_event_1']",18XJ1A0124
6,Sebestn sHickman,"['fest_2_event_9', 'fest_1_event_9', 'fest_2_event_10', 'fest_2_event_8', 'fest_2_event_13', 'fest_1_event_13', 'fest_2_event_15', 'fest_2_event_14', 'fest_2_event_11', 'fest_1_event_5', 'fest_1_event_8', 'fest_2_event_5', 'fest_2_event_6', 'fest_1_event_7']",17XJ1A0155
7,GC,['fest_1_event_4'],NaN
8,JevonteTrevibno,"['fest_2_event_15', 'fest_1_event_5', 'fest_1_event_4', 'fest_1_event_13', 'fest_1_event_8', 'fest_2_event_14', 'fest_2_event_10', 'fest_2_event_5', 'fest_2_event_8', 'fest_1_event_2', 'fest_1_event_3', 'fest_2_event_2', 'fest_2_event_12']",17XJ1A0231
9,Luca S,"['fest_1_event_5', 'fest_2_event_8', 'fest_2_event_6', 'fest_2_event_12', 'fest_2_event_11', 'fest_1_event_8', 'fest_1_event_9']",NaN
